iter	Passed	Remaining
308	412	923
309	413	921
310	415	919
311	416	917
312	417	915
313	418	913
314	419	911
315	420	910
316	422	909
317	423	907
318	424	905
319	425	904
320	426	902
321	427	900
322	428	898
323	430	897
324	431	895
325	432	893
326	433	891
327	434	890
328	436	889
329	437	888
330	438	886
331	440	885
332	441	883
333	442	881
334	443	880
335	444	878
336	445	877
337	446	875
338	448	873
339	449	872
340	450	871
341	452	870
342	453	868
343	454	867
344	455	865
345	457	864
346	458	862
347	459	860
348	460	858
349	461	856
350	462	855
351	463	854
352	465	852
353	466	851
354	467	849
355	469	849
356	470	847
357	471	846
358	472	844
359	473	842
360	475	840
361	476	839
362	477	837
363	478	836
364	480	835
365	481	834
366	482	832
367	483	831
368	485	829
369	486	827
370	487	826
371	488	824
372	489	822
373	490	820
374	491	819
375	492	817
376	493	816
377	494	814
378	496	813
379	497	811
380	498	810
381	499	808
382	500	806
383	501	805
384	503	803
385	504	802
386	505	800
387	506	799
388	507	797
389	509	796
390	510	795
391	511	793
392	513	792
393	514	791
394	515	789
395	516	787
396	517	785
397	518	784
398	519	782
399	520	781
400	522	779
401	523	778
402	524	777
403	525	775
404	526	774
405	528	772
406	529	771
407	530	769
408	531	767
409	532	766
410	533	764
411	534	762
412	535	761
413	536	759
414	538	758
415	539	757
416	540	755
417	541	754
418	543	752
419	544	751
420	545	749
421	546	748
422	547	746
423	548	745
424	549	743
425	550	742
426	552	740
427	553	739
428	554	738
429	555	736
430	557	735
431	558	734
432	559	732
433	560	730
434	561	729
435	562	727
436	563	726
437	564	724
438	565	723
439	567	721
440	568	720
441	569	719
442	570	717
443	572	716
444	573	714
445	574	713
446	575	711
447	576	710
448	577	708
449	578	707
450	579	705
451	580	704
452	582	702
453	583	701
454	584	700
455	585	698
456	587	697
457	588	696
458	589	694
459	590	693
460	591	691
461	592	690
462	593	688
463	594	687
464	596	686
465	597	684
466	598	683
467	600	682
468	601	680
469	602	679
470	603	677
471	604	676
472	605	675
473	606	673
474	608	672
475	609	671
476	611	669
477	612	668
478	613	667
479	616	667
480	617	666
481	618	664
482	619	663
483	621	662
484	622	660
485	623	659
486	624	658
487	626	657
488	627	655
489	628	654
490	629	653
491	631	651
492	632	650
493	633	648
494	634	647
495	635	646
496	636	644
497	638	643
498	640	643
499	642	642
500	643	641
501	645	639
502	646	638
503	647	637
504	649	636
505	650	634
506	651	633
507	652	631
508	653	630
509	656	630
510	657	629
511	659	628
512	660	627
513	661	625
514	663	624
515	664	623
516	665	621
517	666	620
518	668	619
519	669	618
520	670	616
521	672	615
522	674	615
523	675	613
524	676	612
525	678	611
526	679	609
527	680	608
528	681	607
529	683	605
530	684	604
531	685	603
532	686	601
533	688	600
534	690	600
535	692	599
536	693	597
537	694	596
538	695	594
539	696	593
540	698	593
541	701	592
542	702	591
543	703	590
544	705	588
545	706	587
546	707	585
547	708	584
548	709	583
549	711	581
550	712	580
551	713	579
552	715	577
553	716	576
554	717	575
555	718	574
556	720	572
557	721	571
558	722	569
559	723	568
560	724	566
561	725	565
562	726	563
563	728	562
564	729	561
565	730	560
566	732	559
567	733	557
568	734	556
569	735	555
570	736	553
571	738	552
572	739	551
573	740	549
574	742	548
575	743	547
576	744	546
577	746	544
578	747	543
579	749	542
580	750	541
581	751	539
582	752	538
583	754	537
584	755	535
585	756	534
586	757	532
587	759	531
588	760	530
589	761	529
590	763	528
591	764	526
592	765	525
593	766	523
594	767	522
595	768	521
596	769	519
597	770	518
598	772	517
599	774	516
600	775	515
601	777	513
602	778	512
603	779	511
604	780	509
605	781	508
606	782	506
607	784	505
608	785	504
609	787	503
610	789	502
611	790	501
612	791	499
613	793	498
614	794	497
615	795	496
616	796	494
617	798	493
618	799	491
619	800	490
620	802	489
621	804	488
622	806	487
623	807	486
624	808	485
625	809	483
626	810	482
627	811	480
628	813	479
629	814	478
630	815	476
631	816	475
632	818	474
633	819	473
634	820	471
635	822	470
636	823	469
637	824	467
638	825	466
639	826	464
640	827	463
641	828	462
642	830	460
643	831	459
644	832	458
645	834	457
646	835	455
647	836	454
648	838	453
649	839	451
650	840	450
651	841	449
652	842	447
653	844	446
654	845	445
655	846	443
656	847	442
657	849	441
658	850	440
659	851	438
660	852	437
661	853	435
662	854	434
663	855	433
664	856	431
665	857	430
666	859	428
667	860	427
668	861	426
669	863	425
670	864	423
671	865	422
672	866	421
673	867	419
674	869	418
675	870	417
676	871	415
677	872	414
678	873	413
679	874	411
680	875	410
681	877	408
682	878	407
683	879	406
684	880	404
685	881	403
686	882	402
687	883	400
688	884	399
689	885	398
690	887	396
691	888	395
692	889	393
693	890	392
694	891	391
695	893	390
696	894	388
697	895	387
698	896	386
699	897	384
700	898	383
701	899	382
702	901	380
703	902	379
704	903	377
705	904	376
706	905	375
707	906	373
708	908	372
709	909	371
710	910	370
711	911	368
712	912	367
713	913	365
714	914	364
715	915	363
716	916	361
717	917	360
718	918	359
719	920	357
720	921	356
721	923	355
722	924	354
723	925	352
724	926	351
725	927	350
726	928	348
727	929	347
728	930	346
729	931	344
730	932	343
731	934	342
732	935	340
733	936	339
734	937	338
735	938	336
736	939	335
737	940	334
738	942	332
739	943	331
740	944	330
741	945	328
742	946	327
743	947	326
744	948	324
745	949	323
746	951	322
747	952	320
748	953	319
749	954	318
750	955	316
751	956	315
752	957	314
753	958	312
754	959	311
755	960	310
756	961	308
757	963	307
758	964	306
759	966	305
760	967	303
761	968	302
762	969	301
763	970	299
764	971	298
765	972	297
766	973	295
767	975	294
768	976	293
769	977	292
770	979	290
771	980	289
772	981	288
773	982	286
774	983	285
775	984	284
776	985	282
777	986	281
778	987	280
779	988	278
780	989	277
781	990	276
782	991	274
783	992	273
784	994	272
785	995	271
786	996	269
787	997	268
788	998	267
789	999	265
790	1000	264
791	1001	263
792	1002	261
793	1003	260
794	1004	259
795	1006	257
796	1007	256
797	1008	255
798	1009	254
799	1011	252
800	1012	251
801	1013	250
802	1014	248
803	1015	247
804	1016	246
805	1017	244
806	1018	243
807	1019	242
808	1020	240
809	1021	239
810	1023	238
811	1024	237
812	1025	235
813	1026	234
814	1027	233
815	1028	231
816	1029	230
817	1030	229
818	1031	228
819	1033	226
820	1034	225
821	1035	224
822	1036	222
823	1038	221
824	1039	220
825	1041	219
826	1042	218
827	1043	216
828	1044	215
829	1045	214
830	1047	212
831	1048	211
832	1049	210
833	1050	209
834	1051	207
835	1052	206
836	1054	205
837	1055	204
838	1056	202
839	1057	201
840	1058	200
841	1059	198
842	1060	197
843	1061	196
844	1063	195
845	1064	193
846	1065	192
847	1066	191
848	1067	189
849	1069	188
850	1070	187
851	1071	186
852	1072	184
853	1073	183
854	1074	182
855	1075	180
856	1076	179
857	1078	178
858	1079	177
859	1080	175
860	1081	174
861	1082	173
862	1084	172
863	1085	170
864	1086	169
865	1087	168
866	1088	166
867	1089	165
868	1090	164
869	1091	163
870	1092	161
871	1093	160
872	1095	159
873	1096	158
874	1097	156
875	1098	155
876	1099	154
877	1100	152
878	1102	151
879	1103	150
880	1104	149
881	1105	147
882	1106	146
883	1107	145
884	1108	144
885	1109	142
886	1110	141
887	1112	140
888	1113	139
889	1114	137
890	1115	136
891	1116	135
892	1117	133
893	1118	132
894	1119	131
895	1120	130
896	1121	128
897	1123	127
898	1124	126
899	1125	125
900	1126	123
901	1128	122
902	1129	121
903	1130	120
904	1131	118
905	1132	117
906	1133	116
907	1134	114
908	1135	113
909	1136	112
910	1137	111
911	1138	109
912	1139	108
913	1141	107
914	1142	106
915	1143	104
916	1144	103
917	1145	102
918	1146	101
919	1147	99
920	1148	98
921	1149	97
922	1150	96
923	1151	94
924	1153	93
925	1154	92
926	1155	90
927	1156	89
928	1157	88
929	1158	87
930	1159	85
931	1161	84
932	1162	83
933	1163	82
934	1164	80
935	1165	79
936	1166	78
937	1167	77
938	1168	75
939	1170	74
940	1171	73
941	1172	72
942	1173	70
943	1174	69
944	1175	68
945	1177	67
946	1178	65
947	1179	64
948	1180	63
949	1181	62
950	1182	60
951	1183	59
952	1184	58
953	1185	57
954	1187	55
955	1188	54
956	1189	53
957	1190	52
958	1191	50
959	1192	49
960	1193	48
961	1195	47
962	1196	45
963	1197	44
964	1198	43
965	1199	42
966	1200	40
967	1201	39
968	1202	38
969	1204	37
970	1205	35
971	1206	34
972	1207	33
973	1208	32
974	1209	31
975	1210	29
976	1211	28
977	1212	27
978	1214	26
979	1215	24
980	1216	23
981	1217	22
982	1218	21
983	1219	19
984	1220	18
985	1221	17
986	1222	16
987	1224	14
988	1225	13
989	1226	12
990	1227	11
991	1228	9
992	1229	8
993	1230	7
994	1231	6
995	1233	4
996	1234	3
997	1235	2
998	1236	1
999	1237	0
